site,date,iupac_name,pubchem_cid,value,loq,lod,censored
Lind 1,2015-05-20,Lead,5352425,2.173913043478261e-9,6.441223832528181e-9,1.932367149758454e-9,interval
So 7/2,2015-06-19,Lead,5352425,1.9806763285024154e-9,6.441223832528181e-9,1.932367149758454e-9,interval
Lind 1,2015-06-19,Lead,5352425,1.932367149758454e-9,6.441223832528181e-9,1.932367149758454e-9,left
So 7/2,2015-07-13,Lead,5352425,2.2222222222222225e-9,6.441223832528181e-9,1.932367149758454e-9,interval
Lind 1,2015-07-13,Lead,5352425,1.4975845410628018e-9,6.441223832528181e-9,1.932367149758454e-9,left
So 7/2,2015-08-14,Lead,5352425,1.642512077294686e-9,6.441223832528181e-9,1.932367149758454e-9,left
Lind 1,2015-08-14,Lead,5352425,2.173913043478261e-9,6.441223832528181e-9,1.932367149758454e-9,interval
Stasjon 4,2015-05-20,Lead,5352425,1.0483091787439613e-9,7.246376811594202e-11,2.1739130434782608e-11,none
Stasjon 4,2015-06-25,Lead,5352425,4.178743961352657e-9,7.246376811594202e-11,2.1739130434782608e-11,none
Stasjon 4,2015-08-14,Lead,5352425,1.3285024154589372e-9,7.246376811594202e-11,2.1739130434782608e-11,none
Stasjon 4,2015-09-21,Lead,5352425,8.454106280193237e-10,7.246376811594202e-11,2.1739130434782608e-11,none
Stasjon 5,2015-05-20,Lead,5352425,5.942028985507246e-10,7.246376811594202e-11,2.1739130434782608e-11,none
Stasjon 5,2015-06-25,Lead,5352425,5.893719806763285e-10,7.246376811594202e-11,2.1739130434782608e-11,none
Stasjon 5,2015-08-14,Lead,5352425,8.260869565217392e-10,7.246376811594202e-11,2.1739130434782608e-11,none
Stasjon 5,2015-09-21,Lead,5352425,1.0917874396135267e-9,7.246376811594202e-11,2.1739130434782608e-11,none
So 7/2,2015-01-14,Zinc,23994,1.0244648318042812e-7,7.645259938837921e-8,2.293577981651376e-8,none
Lind 1,2015-01-14,Zinc,23994,1.4067278287461772e-7,7.645259938837921e-8,2.293577981651376e-8,none
So 7/2,2015-02-12,Zinc,23994,9.021406727828745e-8,7.645259938837921e-8,2.293577981651376e-8,none
Lind 1,2015-02-12,Zinc,23994,1.5290519877675842e-7,7.645259938837921e-8,2.293577981651376e-8,none
