site,date,iupac_name,pubchem_cid,value,loq,lod,censored
ALN 136x,2016-11-01,"2,4-dichloro-1-(2,4-dichlorophenyl)benzene",17097,5.068493150684931e-13,1.6894977168949773e-12,5.068493150684931e-13,left
HOV 122z,2016-11-01,dibutyl phenyl phosphate,17312,2.0368064685142418e-11,NA,NA,none
ALN 138x,2016-11-01,dibutyl phenyl phosphate,17312,4.196152579257672e-12,NA,NA,none
ALN 125x,2016-11-01,dibutyl phenyl phosphate,17312,1.3503750586909576e-11,NA,NA,none
ALN 136x,2016-11-01,dibutyl phenyl phosphate,17312,1.0827564174628368e-11,NA,NA,none
HOV 122z,2016-11-01,butyl diphenyl phosphate,17682,3.2648796891834533e-13,1.0882932297278179e-12,3.2648796891834533e-13,left
ALN 138x,2016-11-01,butyl diphenyl phosphate,17682,3.2648796891834533e-13,1.0882932297278179e-12,3.2648796891834533e-13,left
ALN 125x,2016-11-01,butyl diphenyl phosphate,17682,3.2648796891834533e-13,1.0882932297278179e-12,3.2648796891834533e-13,left
ALN 136x,2016-11-01,butyl diphenyl phosphate,17682,3.2648796891834533e-13,1.0882932297278179e-12,3.2648796891834533e-13,left
HOV 122z,2016-11-01,"2-[ethyl(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctylsulfonyl)amino]acetic acid",18134,5.12610211195407e-13,1.7087007039846901e-12,5.12610211195407e-13,left
ALN 138x,2016-11-01,"2-[ethyl(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctylsulfonyl)amino]acetic acid",18134,5.12610211195407e-13,1.7087007039846901e-12,5.12610211195407e-13,left
ALN 125x,2016-11-01,"2-[ethyl(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctylsulfonyl)amino]acetic acid",18134,5.12610211195407e-13,1.7087007039846901e-12,5.12610211195407e-13,left
ALN 136x,2016-11-01,"2-[ethyl(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctylsulfonyl)amino]acetic acid",18134,5.12610211195407e-13,1.7087007039846901e-12,5.12610211195407e-13,left
HOV 122z,2016-11-01,2-ethylhexyl 3-(4-methoxyphenyl)prop-2-enoate,21630,3.443526170798898e-11,1.1478420569329662e-10,3.443526170798898e-11,left
ALN 138x,2016-11-01,2-ethylhexyl 3-(4-methoxyphenyl)prop-2-enoate,21630,3.443526170798898e-11,1.1478420569329662e-10,3.443526170798898e-11,left
ALN 125x,2016-11-01,2-ethylhexyl 3-(4-methoxyphenyl)prop-2-enoate,21630,3.443526170798898e-11,1.1478420569329662e-10,3.443526170798898e-11,left
